stratification,stratum,n_examined,pathogen,n_positive,source
age_group,1-7d,35,C_parvum,7,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,C_parvum,15,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,C_parvum,14,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,C_parvum,1,Kadyrov et al. 2023 IJEECS Table 1
age_group,1-7d,35,BRV,4,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,BRV,15,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,BRV,5,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,BRV,3,Kadyrov et al. 2023 IJEECS Table 1
age_group,1-7d,35,BCV,2,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,BCV,1,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,BCV,4,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,BCV,4,Kadyrov et al. 2023 IJEECS Table 1
age_group,1-7d,35,EcoliK99,1,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,EcoliK99,2,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,EcoliK99,3,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,EcoliK99,0,Kadyrov et al. 2023 IJEECS Table 1
age_group,1-7d,35,Cparvum_BRV,3,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,Cparvum_BRV,4,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,Cparvum_BRV,1,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,Cparvum_BRV,0,Kadyrov et al. 2023 IJEECS Table 1
age_group,1-7d,35,Cparvum_BCV,2,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,Cparvum_BCV,3,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,Cparvum_BCV,1,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,Cparvum_BCV,0,Kadyrov et al. 2023 IJEECS Table 1
age_group,1-7d,35,BRV_BCV,0,Kadyrov et al. 2023 IJEECS Table 1
age_group,8-14d,86,BRV_BCV,2,Kadyrov et al. 2023 IJEECS Table 1
age_group,15-21d,62,BRV_BCV,1,Kadyrov et al. 2023 IJEECS Table 1
age_group,22-31d,62,BRV_BCV,0,Kadyrov et al. 2023 IJEECS Table 1
farm_size,large_gt500,171,C_parvum,32,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,C_parvum,4,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,C_parvum,1,Kadyrov et al. 2023 IJEECS Table 2
farm_size,large_gt500,171,BRV,12,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,BRV,7,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,BRV,8,Kadyrov et al. 2023 IJEECS Table 2
farm_size,large_gt500,171,BCV,10,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,BCV,0,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,BCV,1,Kadyrov et al. 2023 IJEECS Table 2
farm_size,large_gt500,171,EcoliK99,1,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,EcoliK99,5,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,EcoliK99,0,Kadyrov et al. 2023 IJEECS Table 2
farm_size,large_gt500,171,Cparvum_BRV,7,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,Cparvum_BRV,1,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,Cparvum_BRV,0,Kadyrov et al. 2023 IJEECS Table 2
farm_size,large_gt500,171,Cparvum_BCV,6,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,Cparvum_BCV,0,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,Cparvum_BCV,0,Kadyrov et al. 2023 IJEECS Table 2
farm_size,large_gt500,171,BRV_BCV,3,Kadyrov et al. 2023 IJEECS Table 2
farm_size,medium_gt150,43,BRV_BCV,0,Kadyrov et al. 2023 IJEECS Table 2
farm_size,small_lt20,31,BRV_BCV,0,Kadyrov et al. 2023 IJEECS Table 2
